depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 15 12 12 367 
1 17 13 33 851 
2 10 12 42 1473 
3 6 7 32 2237 
4 4 2 33 2853 
5 11 9 40 3644 
6 15 17 19 4006 
7 4 13 20 4781 
8 11 5 46 5174 
9 14 12 30 5744 
10 12 14 29 6224 
11 2 8 26 6560 
12 5 0 36 7210 
13 7 10 37 7703 
14 9 13 50 8528 
15 2 1 17 8971 
16 1 13 37 9704 
17 8 12 13 10253 
18 15 9 30 10854 
19 17 11 42 11464 
20 2 16 29 12101 
21 5 2 11 12511 
22 13 0 49 13133 
23 0 16 49 13937 
24 3 18 40 14439 
25 16 16 36 14977 
26 1 9 17 15646 
27 3 19 47 16516 
28 13 18 47 17322 
29 4 4 41 18123 
30 7 7 28 19023 
31 14 6 10 19433 
32 0 10 10 19933 
33 6 2 15 20378 
34 16 2 38 21117 
35 11 5 36 21979 
36 5 10 30 22770 
37 6 17 36 23339 
38 19 16 27 23984 
39 17 8 40 24872 
40 3 19 12 25272 
41 14 15 22 25942 
42 11 16 21 26399 
43 10 16 35 26727 
44 10 0 24 27588 
45 4 12 43 28479 
46 10 16 44 29104 
47 17 2 29 29921 
48 11 19 46 30549 
49 3 1 19 31001 
50 14 15 42 31680 
51 8 17 47 32308 
52 4 4 47 32682 
53 9 6 30 33048 
54 10 19 45 33579 
55 14 11 10 33988 
56 13 0 16 34467 
57 18 0 49 35333 
58 9 8 19 36037 
59 4 8 46 36455 
60 3 2 21 36835 
61 15 3 46 37467 
62 5 17 50 38141 
63 11 12 24 38935 
64 14 8 23 39323 
65 2 11 26 39691 
66 9 13 46 40395 
67 4 19 43 40835 
68 8 14 34 41334 
69 19 18 12 41753 
70 18 7 25 42076 
71 5 0 43 42721 
72 3 13 31 43572 
73 8 3 17 44019 
74 16 15 33 44398 
75 1 13 23 45156 
76 14 9 40 46034 
77 12 19 23 46621 
78 13 15 12 47004 
79 7 15 43 47687 
80 7 6 49 48503 
81 16 11 50 49092 
82 4 6 18 49560 
83 2 0 49 50455 
84 16 13 45 51242 
85 12 19 32 51753 
86 6 18 39 52527 
87 6 3 46 53153 
88 18 14 14 53567 
89 14 8 34 54373 
90 0 7 37 54982 
91 5 12 33 55668 
92 16 19 42 56258 
93 12 14 31 56990 
94 10 13 22 57882 
95 18 6 18 58413 
96 12 19 40 58883 
97 9 5 39 59472 
98 8 12 15 60128 
99 18 2 35 60579 
100 6 3 48 61151 
101 15 19 43 61466 
102 7 18 29 62099 
103 19 16 19 62698 
104 13 8 32 63259 
105 2 19 19 63573 
106 16 3 13 63942 
107 14 14 24 64333 
108 4 18 42 65011 
109 6 14 36 65444 
110 7 19 42 65870 
111 0 14 23 66459 
112 5 1 14 67184 
113 4 5 24 67926 
114 16 2 40 68468 
115 9 15 45 68988 
116 19 18 41 69480 
117 1 16 34 69808 
118 13 18 43 70327 
119 18 19 20 71062 
120 9 10 36 71449 
121 4 0 24 71799 
-1
