depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 1 15 44 159 
1 17 0 48 312 
2 3 10 36 482 
3 11 2 49 716 
4 1 2 17 930 
5 14 3 18 1095 
6 19 16 50 1265 
7 11 9 45 1450 
8 1 3 34 1609 
9 9 2 36 1808 
10 4 14 38 2045 
11 1 12 50 2209 
12 3 4 39 2365 
13 4 17 50 2503 
14 12 19 49 2685 
15 2 9 19 2914 
16 12 7 20 3143 
17 7 0 21 3440 
18 18 14 11 3663 
19 3 10 29 3842 
20 8 12 11 4016 
21 5 15 27 4309 
22 16 5 10 4461 
23 1 6 49 4588 
24 15 16 25 4871 
25 4 8 43 5152 
26 5 11 13 5440 
27 11 0 26 5665 
28 3 10 30 5951 
29 4 10 30 6123 
30 18 3 20 6336 
31 19 14 21 6476 
32 14 16 15 6612 
33 17 7 25 6880 
34 0 18 12 7168 
35 9 13 23 7360 
36 11 6 44 7557 
37 5 9 43 7783 
38 15 0 28 8026 
39 5 18 31 8282 
40 17 1 42 8454 
41 19 16 21 8749 
42 0 18 46 9023 
43 3 7 15 9244 
44 9 12 24 9380 
45 13 5 16 9549 
46 8 7 30 9744 
47 1 17 11 10032 
48 7 6 16 10312 
49 2 12 46 10507 
50 1 7 32 10741 
51 7 11 11 11007 
52 17 4 34 11266 
53 18 6 42 11561 
54 6 7 33 11786 
55 17 5 39 11937 
56 14 15 25 12192 
57 12 6 18 12319 
58 3 13 44 12442 
59 16 12 32 12684 
60 10 7 11 12895 
61 7 0 43 13146 
62 12 1 22 13268 
63 17 19 24 13552 
64 16 16 43 13685 
65 11 0 24 13841 
66 10 0 40 14017 
67 3 12 27 14161 
68 6 12 36 14459 
69 1 14 42 14750 
70 1 18 44 14928 
71 7 6 41 15100 
72 5 1 12 15344 
73 18 4 34 15592 
74 13 5 50 15763 
75 7 4 11 15999 
76 3 7 30 16281 
77 14 8 48 16476 
78 16 3 41 16756 
79 5 19 23 16884 
80 3 15 30 17112 
81 5 10 44 17241 
82 1 2 16 17534 
83 0 3 19 17755 
84 10 4 31 17912 
85 13 8 25 18154 
86 18 14 22 18313 
87 18 14 40 18613 
88 12 0 25 18866 
89 5 0 15 19155 
90 14 9 27 19336 
91 2 18 46 19539 
92 2 11 25 19806 
93 2 12 47 19928 
94 11 1 11 20166 
95 15 10 21 20457 
96 1 14 49 20672 
97 1 8 39 20956 
98 0 1 27 21228 
99 9 17 13 21498 
100 17 4 39 21660 
101 5 13 46 21887 
102 14 11 47 22148 
103 14 0 30 22297 
104 14 0 11 22462 
105 13 10 21 22632 
106 18 10 38 22852 
107 10 7 32 23055 
108 13 4 30 23250 
109 19 6 42 23414 
110 0 4 10 23534 
111 9 8 26 23682 
112 19 14 20 23951 
113 9 7 31 24108 
114 13 16 41 24245 
115 8 9 17 24484 
116 3 9 37 24737 
117 11 8 33 24879 
118 2 5 17 25051 
119 16 5 30 25324 
120 19 4 19 25519 
121 18 19 22 25771 
122 1 0 25 26050 
123 12 11 28 26191 
124 3 1 33 26358 
125 18 11 45 26630 
126 14 12 13 26754 
127 13 16 24 27001 
128 16 2 15 27284 
129 7 10 32 27420 
130 2 16 20 27568 
131 8 4 20 27852 
132 13 19 26 28073 
133 14 14 18 28253 
134 0 7 23 28447 
135 6 17 18 28621 
136 0 5 21 28787 
137 16 19 16 29074 
138 4 2 28 29301 
139 2 5 25 29596 
140 16 3 44 29888 
141 9 6 30 30111 
142 18 12 31 30341 
143 6 7 49 30532 
144 11 16 15 30767 
145 2 3 37 30950 
146 2 9 10 31230 
147 2 6 20 31492 
148 9 1 40 31779 
149 10 19 17 31946 
150 10 17 36 32220 
151 10 15 21 32500 
152 3 7 15 32728 
153 15 1 38 32866 
154 13 13 18 32998 
155 18 2 11 33166 
156 4 2 28 33347 
157 6 16 24 33492 
158 13 1 32 33721 
159 4 17 16 33867 
160 2 10 12 34163 
161 18 7 14 34428 
162 17 2 39 34592 
163 0 10 20 34734 
164 1 16 41 34867 
165 19 2 23 34989 
166 15 1 18 35157 
167 2 8 22 35311 
168 17 5 34 35525 
169 8 6 26 35718 
170 10 4 19 35860 
171 7 6 45 36061 
172 8 5 27 36279 
173 12 1 29 36504 
174 11 3 31 36689 
175 3 1 16 36840 
176 8 12 46 37110 
177 7 5 20 37282 
178 4 16 33 37565 
179 15 9 18 37842 
180 16 0 42 38004 
181 10 16 37 38175 
182 19 17 15 38454 
183 8 4 14 38696 
184 11 19 14 38836 
185 2 6 34 39021 
186 10 4 34 39163 
187 13 12 21 39358 
188 6 17 38 39544 
189 2 12 30 39753 
190 9 9 14 39993 
191 4 16 39 40178 
192 14 19 14 40318 
193 13 6 13 40537 
194 9 18 43 40754 
195 12 3 43 41015 
196 2 4 23 41198 
197 1 13 25 41445 
198 2 13 44 41705 
199 19 10 15 41995 
200 0 3 11 42290 
201 4 12 25 42547 
202 13 1 44 42776 
203 16 5 28 43014 
204 4 2 25 43180 
205 3 2 36 43399 
206 14 12 27 43699 
207 5 18 24 43883 
208 18 11 14 44027 
209 12 17 27 44319 
210 1 9 49 44601 
211 18 11 18 44893 
212 11 1 39 45112 
213 6 8 47 45405 
214 8 14 37 45636 
215 19 19 50 45779 
216 4 15 10 45982 
217 8 5 35 46186 
218 19 2 40 46472 
219 13 16 40 46695 
220 8 7 41 46974 
221 12 11 11 47094 
222 1 8 16 47274 
223 0 6 27 47518 
224 5 7 12 47715 
225 5 12 24 47923 
226 13 5 50 48178 
227 13 9 50 48468 
228 15 3 20 48688 
229 0 2 22 48809 
230 6 4 16 49028 
231 16 18 44 49179 
232 15 16 42 49371 
233 5 13 48 49582 
234 16 4 41 49762 
235 18 6 26 49917 
236 8 9 23 50174 
237 14 2 36 50405 
238 8 0 41 50542 
239 3 0 31 50752 
240 0 16 29 50965 
241 14 16 50 51204 
242 4 5 44 51392 
243 1 3 42 51664 
244 11 13 40 51826 
245 15 7 34 52075 
246 14 11 33 52370 
247 18 4 48 52578 
248 13 17 23 52846 
249 11 7 42 52976 
250 0 11 42 53097 
251 5 11 49 53306 
252 15 19 13 53563 
253 17 16 28 53807 
254 14 9 35 53947 
255 16 6 22 54233 
256 2 14 21 54421 
257 13 8 23 54560 
258 17 6 25 54779 
259 2 11 27 55043 
260 1 15 29 55230 
261 7 2 28 55409 
262 18 18 16 55626 
263 18 5 40 55903 
264 14 15 32 56161 
265 15 0 23 56454 
266 16 6 24 56659 
267 12 18 10 56924 
268 9 6 23 57117 
269 6 0 38 57276 
270 4 14 22 57549 
271 10 6 10 57733 
272 14 8 46 58021 
273 9 2 11 58316 
274 6 16 50 58568 
275 12 2 18 58761 
276 3 15 18 58985 
277 4 3 16 59214 
278 0 5 40 59334 
279 18 16 44 59626 
280 19 1 30 59861 
281 15 19 36 60049 
282 2 2 29 60198 
283 5 16 34 60449 
284 14 14 15 60742 
285 0 15 47 60887 
286 4 4 27 61065 
287 17 0 36 61211 
288 6 15 40 61406 
289 6 11 50 61648 
290 11 6 33 61858 
291 15 7 21 62123 
292 15 7 38 62365 
293 14 4 16 62505 
294 18 2 44 62793 
295 16 6 12 63070 
296 18 0 20 63291 
297 17 17 27 63498 
298 8 7 47 63629 
299 15 1 40 63838 
300 7 2 50 64094 
301 6 1 49 64229 
302 3 19 14 64406 
303 17 6 47 64658 
304 13 10 18 64788 
305 8 6 19 64951 
306 14 1 19 65162 
307 0 19 12 65355 
308 19 3 45 65628 
309 13 11 33 65749 
310 7 7 32 66039 
311 18 7 47 66175 
312 9 0 46 66447 
313 7 14 19 66638 
314 5 8 47 66836 
315 18 16 21 67038 
316 2 15 23 67337 
317 18 17 26 67568 
318 6 6 50 67815 
319 15 1 36 67943 
320 8 10 16 68162 
321 11 8 38 68335 
322 0 8 12 68546 
323 5 9 26 68787 
324 2 13 27 68969 
325 14 4 30 69096 
326 19 12 26 69296 
327 6 6 21 69426 
