depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 19 13 11 840 
1 18 16 18 1492 
2 14 5 29 1936 
3 8 18 11 2715 
4 10 2 23 3550 
5 1 11 29 3970 
6 8 6 45 4447 
7 18 8 30 4959 
8 9 1 34 5624 
9 2 15 22 6137 
10 17 2 25 6586 
11 12 7 32 7477 
12 8 12 16 8198 
13 9 11 18 8760 
14 16 15 46 9142 
15 3 16 39 9644 
16 16 5 39 10207 
17 11 5 11 10570 
18 13 3 32 11460 
19 19 0 18 11995 
20 17 16 48 12710 
21 4 4 15 13562 
22 7 11 16 14248 
23 9 10 10 14744 
24 0 10 32 15613 
25 17 14 19 15974 
26 12 7 28 16452 
27 5 9 26 17066 
28 13 6 43 17823 
29 19 14 23 18515 
30 6 18 46 18817 
31 8 10 40 19401 
32 9 11 30 20132 
33 18 18 38 20898 
34 17 15 19 21499 
35 1 1 24 21878 
36 4 11 28 22269 
37 17 1 17 23104 
38 14 9 16 23867 
39 11 17 24 24475 
40 15 9 34 25241 
41 3 17 28 25976 
42 16 1 42 26297 
43 16 18 16 27166 
44 6 11 19 27724 
45 19 4 20 28531 
46 17 7 43 28986 
47 14 16 21 29656 
48 2 11 45 30002 
49 3 2 36 30672 
50 9 0 27 31447 
51 13 2 11 31875 
52 16 1 31 32477 
53 13 17 14 33126 
54 17 4 32 33953 
55 2 14 47 34450 
56 18 2 33 34780 
57 19 15 24 35301 
58 16 1 21 35994 
59 5 7 21 36414 
60 12 9 29 36867 
61 6 6 25 37557 
62 0 13 29 38261 
63 15 14 31 39015 
64 4 13 27 39649 
65 18 2 31 40210 
66 9 19 37 40904 
67 7 19 22 41522 
68 19 3 17 41934 
69 11 16 42 42455 
70 8 6 44 43013 
71 12 0 43 43650 
72 14 4 21 44173 
73 14 4 43 44629 
74 0 19 10 45255 
75 4 3 10 45667 
76 5 16 17 46194 
77 11 8 38 46928 
78 7 13 50 47426 
79 1 15 39 48318 
80 13 0 42 48782 
81 3 17 21 49092 
82 6 8 24 49678 
83 8 3 12 50486 
84 14 16 12 50923 
85 6 4 12 51786 
86 11 16 35 52530 
87 4 17 34 53325 
88 1 4 38 54223 
89 10 14 20 54691 
90 1 10 24 55314 
91 2 11 43 55732 
92 7 6 40 56450 
93 14 13 27 57046 
94 7 11 18 57724 
95 6 12 45 58070 
96 19 12 14 58718 
97 2 1 13 59198 
98 6 2 49 59778 
99 14 11 16 60415 
100 2 10 12 60930 
101 0 15 18 61287 
102 2 13 10 61943 
103 18 2 10 62510 
104 13 9 41 63164 
105 0 10 41 63736 
106 5 19 45 64390 
107 9 7 26 64693 
108 16 9 17 65252 
109 11 14 44 66003 
110 2 6 40 66737 
111 1 9 42 67332 
112 0 7 39 67922 
113 16 7 28 68718 
114 14 6 13 69447 
115 19 2 12 70257 
116 6 6 18 71096 
117 16 2 28 71721 
-1
