depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 12 11 11 267 
1 19 12 25 522 
2 4 13 43 794 
3 15 12 17 951 
4 14 6 10 1176 
5 19 9 39 1326 
6 13 1 46 1541 
7 16 3 32 1666 
8 10 4 41 1890 
9 1 5 10 2051 
10 7 4 15 2191 
11 14 7 27 2314 
12 16 16 48 2528 
13 18 0 45 2784 
14 5 14 24 3026 
15 2 17 16 3188 
16 9 14 24 3403 
17 5 16 17 3646 
18 7 4 39 3856 
19 12 17 44 4022 
20 0 10 26 4236 
21 1 19 45 4491 
22 17 15 26 4784 
23 13 3 47 4913 
24 0 1 41 5163 
25 0 8 20 5325 
26 7 19 49 5457 
27 5 13 38 5629 
28 14 3 32 5852 
29 4 1 19 6090 
30 0 17 45 6371 
31 14 14 20 6598 
32 10 17 26 6841 
33 5 9 24 7068 
34 9 16 12 7229 
35 10 15 49 7523 
36 11 11 34 7650 
37 17 3 27 7942 
38 6 10 38 8074 
39 1 13 44 8241 
40 5 2 43 8406 
41 5 16 15 8649 
42 16 19 25 8872 
43 7 5 33 9017 
44 5 18 42 9148 
45 18 17 50 9385 
46 11 3 17 9608 
47 9 17 26 9735 
48 4 0 29 10010 
49 12 9 19 10292 
50 5 12 50 10587 
51 12 0 45 10830 
52 10 12 13 10999 
53 7 6 26 11268 
54 3 1 44 11415 
55 7 2 38 11705 
56 0 19 14 11851 
57 1 11 13 12054 
58 6 3 13 12201 
59 16 7 17 12340 
60 5 13 37 12610 
61 1 18 47 12802 
62 19 10 30 12965 
63 18 7 21 13226 
64 19 15 20 13411 
65 14 15 40 13551 
66 5 8 23 13787 
67 0 15 38 13954 
68 14 13 14 14189 
69 4 18 24 14391 
70 6 12 46 14656 
71 11 12 21 14903 
72 11 0 49 15106 
73 16 0 47 15328 
74 16 7 39 15450 
75 11 19 20 15586 
76 5 13 39 15748 
77 16 18 41 15979 
78 19 13 10 16164 
79 2 10 23 16322 
80 6 2 11 16555 
81 18 3 37 16855 
82 17 8 44 17074 
83 7 8 45 17345 
84 6 3 18 17486 
85 8 5 40 17656 
86 4 15 18 17817 
87 19 13 23 17998 
88 14 18 18 18153 
89 14 3 39 18303 
90 15 11 32 18460 
91 9 9 30 18692 
92 17 0 25 18868 
93 17 7 26 19083 
94 0 12 42 19210 
95 1 4 25 19455 
96 2 6 12 19649 
97 0 9 37 19886 
98 18 0 47 20024 
99 0 16 44 20149 
100 3 4 32 20447 
101 6 2 19 20637 
102 12 10 42 20776 
103 1 8 22 21020 
104 18 11 43 21255 
105 18 17 42 21465 
106 7 15 29 21659 
107 10 9 46 21789 
108 19 15 50 22030 
109 9 3 40 22279 
110 14 16 45 22520 
111 2 12 10 22713 
112 3 1 37 22925 
113 14 14 10 23128 
114 16 4 23 23424 
115 16 1 33 23660 
116 1 18 34 23848 
117 0 8 41 23980 
118 16 1 20 24240 
119 17 13 37 24532 
120 7 13 26 24769 
121 4 16 33 24925 
122 15 11 36 25202 
123 13 11 45 25488 
124 5 19 12 25634 
125 15 13 18 25891 
126 0 7 27 26156 
127 14 2 12 26377 
128 0 13 50 26641 
129 14 12 12 26891 
130 19 13 38 27067 
131 6 8 41 27363 
132 3 3 17 27586 
133 7 9 30 27822 
134 0 5 23 28043 
135 13 16 16 28184 
136 9 10 49 28345 
137 18 6 39 28577 
138 16 16 32 28773 
139 19 8 38 28943 
140 15 19 31 29172 
141 8 17 23 29377 
142 15 10 21 29604 
143 9 14 42 29761 
144 14 1 39 29998 
145 4 17 17 30214 
