depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 1 19 44 503 
1 11 12 49 1230 
2 16 11 30 1996 
3 16 5 20 2677 
4 2 3 13 3230 
5 11 1 47 3651 
6 16 16 13 4301 
7 6 9 23 5103 
8 1 0 29 5798 
9 2 11 24 6536 
10 11 1 41 7256 
11 9 4 41 7700 
12 0 2 46 8342 
13 8 4 29 8691 
14 11 19 18 9005 
15 16 8 11 9707 
16 2 9 27 10429 
17 17 10 19 11327 
18 7 3 38 12000 
19 19 11 13 12582 
20 9 18 50 13467 
21 6 8 43 14190 
22 13 9 35 14738 
23 19 1 26 15322 
24 16 5 47 15952 
25 8 0 47 16602 
26 1 9 29 16925 
27 10 6 36 17557 
28 13 14 32 18183 
29 1 9 17 18862 
30 16 12 22 19646 
31 13 4 10 20532 
32 10 19 32 20886 
33 1 14 40 21667 
34 9 6 16 22213 
35 4 14 20 22776 
36 15 3 50 23123 
37 14 3 42 23950 
38 14 13 36 24480 
39 5 9 35 25310 
40 6 8 43 25832 
41 14 6 42 26381 
42 19 4 43 27155 
43 7 2 32 27669 
44 1 17 12 28320 
45 0 11 20 28865 
46 13 16 19 29633 
47 16 13 35 30428 
48 18 16 48 30970 
49 11 2 12 31512 
50 3 17 25 31860 
51 15 19 18 32709 
52 13 16 23 33095 
53 4 4 10 33644 
54 3 12 20 34378 
55 5 11 39 34839 
56 0 10 38 35502 
57 11 2 27 35911 
58 0 10 47 36519 
59 3 11 38 37070 
60 4 19 40 37875 
61 5 15 34 38267 
62 13 14 18 38766 
63 5 16 19 39148 
64 10 12 22 39769 
65 18 4 14 40508 
66 4 19 29 40846 
67 15 0 15 41681 
68 7 12 41 42015 
69 0 6 44 42485 
70 19 15 24 43120 
71 11 2 19 43706 
72 5 8 43 44136 
73 5 14 42 44736 
74 6 15 28 45072 
75 11 10 22 45846 
76 0 17 41 46562 
77 8 15 13 47005 
78 13 8 48 47446 
79 19 3 39 48341 
80 5 7 17 48912 
81 15 19 15 49630 
82 9 11 43 49984 
83 1 3 38 50600 
84 4 19 32 51009 
85 9 17 25 51902 
86 15 4 26 52492 
87 10 10 26 53084 
88 6 5 42 53421 
89 8 19 20 54186 
90 2 19 17 54950 
91 14 1 11 55789 
92 19 9 23 56227 
93 12 13 18 57019 
94 9 10 34 57522 
95 3 16 37 57858 
96 4 1 50 58339 
97 1 11 29 59133 
98 14 7 27 59589 
99 16 3 50 60230 
100 13 9 23 60613 
101 12 14 45 61356 
102 11 13 48 61992 
103 15 3 48 62825 
104 3 0 50 63343 
105 10 2 48 63864 
106 7 3 19 64337 
107 18 1 29 64899 
108 5 13 37 65356 
109 13 16 20 66126 
110 12 14 37 66582 
111 13 17 23 66922 
112 15 15 17 67360 
113 1 4 30 67779 
114 14 2 40 68558 
115 9 16 48 69357 
116 5 14 48 70102 
117 8 7 23 70777 
118 18 1 34 71358 
119 9 6 48 71855 
-1
