depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 8 19 43 149 
1 18 5 17 300 
2 11 6 29 547 
3 2 17 13 817 
4 16 15 42 1022 
5 13 11 47 1200 
6 12 19 30 1362 
7 15 19 19 1515 
8 15 14 10 1767 
9 8 17 37 1949 
10 17 4 49 2227 
11 8 16 34 2408 
12 17 3 18 2625 
13 14 11 24 2752 
14 19 14 19 3042 
15 11 0 12 3190 
16 3 15 43 3390 
17 18 15 49 3567 
18 7 14 15 3728 
19 15 7 21 3883 
20 3 11 13 4100 
21 14 9 10 4227 
22 3 3 25 4435 
23 7 7 49 4703 
24 2 4 36 4936 
25 12 18 16 5166 
26 15 4 22 5296 
27 16 11 38 5579 
28 12 9 45 5857 
29 0 9 16 6052 
30 1 19 14 6327 
31 2 1 30 6575 
32 15 15 27 6817 
33 4 4 34 7008 
34 3 5 41 7168 
35 19 8 28 7392 
36 6 11 24 7559 
37 10 10 39 7748 
38 16 4 45 7882 
39 5 9 29 8128 
40 14 2 45 8397 
41 4 13 15 8561 
42 2 11 43 8740 
43 7 4 38 8890 
44 19 19 30 9055 
45 18 17 50 9254 
46 8 12 35 9539 
47 4 11 14 9667 
48 4 3 41 9931 
49 1 18 41 10177 
50 16 17 16 10412 
51 9 6 41 10696 
52 5 3 38 10846 
53 4 17 13 11143 
54 9 9 46 11368 
55 14 13 29 11624 
56 11 0 38 11782 
57 6 15 10 12008 
58 9 15 45 12193 
59 9 12 22 12344 
60 15 9 48 12471 
61 17 15 28 12668 
62 7 13 47 12962 
63 16 16 14 13102 
64 17 11 43 13356 
65 16 11 12 13570 
66 1 5 17 13804 
67 14 3 45 13986 
68 10 12 40 14189 
69 5 6 19 14329 
70 10 10 40 14624 
71 6 11 42 14899 
72 5 10 22 15169 
73 11 14 15 15401 
74 5 3 21 15683 
75 1 10 37 15978 
76 0 19 10 16266 
77 0 11 25 16447 
78 19 6 42 16639 
79 11 4 18 16885 
80 7 12 42 17054 
81 2 9 26 17279 
82 15 1 18 17430 
83 18 1 27 17653 
84 15 4 39 17917 
85 13 10 18 18192 
86 12 15 41 18345 
87 16 15 30 18521 
88 11 5 22 18663 
89 10 8 18 18961 
90 9 16 43 19101 
91 16 1 23 19316 
92 17 6 46 19507 
93 1 17 12 19638 
94 3 11 18 19836 
95 9 9 10 20116 
96 5 0 14 20285 
97 7 6 42 20537 
98 18 14 36 20781 
99 16 14 24 21006 
100 0 1 10 21290 
101 11 7 36 21508 
102 19 4 42 21725 
103 9 9 49 21956 
104 13 19 24 22124 
105 0 12 24 22413 
106 6 4 16 22655 
107 10 19 28 22810 
108 7 8 47 23106 
109 17 10 44 23286 
110 8 12 37 23516 
111 1 0 49 23796 
112 4 13 40 23994 
113 10 17 36 24170 
114 13 2 28 24318 
115 5 5 24 24500 
116 10 9 24 24663 
117 12 18 34 24792 
118 19 2 50 25017 
119 13 18 45 25185 
120 9 10 25 25474 
121 5 6 43 25605 
122 0 4 35 25792 
123 14 3 48 25967 
124 6 15 39 26183 
125 7 16 31 26446 
126 14 6 24 26696 
127 12 14 20 26817 
128 8 6 19 26947 
129 12 6 41 27211 
130 9 6 37 27337 
131 9 14 22 27597 
132 5 14 17 27846 
133 12 8 46 28101 
134 7 19 24 28289 
135 11 16 13 28562 
136 13 8 23 28764 
137 4 14 48 28960 
138 2 9 45 29246 
139 13 9 33 29386 
140 1 14 33 29512 
141 4 9 45 29771 
142 5 3 48 29901 
143 14 9 25 30125 
144 16 18 14 30279 
145 17 9 30 30408 
146 2 11 39 30617 
147 11 17 31 30757 
148 16 3 40 30923 
149 18 16 24 31050 
150 16 5 23 31204 
151 8 9 11 31362 
152 13 3 18 31652 
153 18 8 45 31918 
154 17 5 30 32077 
155 11 18 19 32206 
156 12 5 45 32405 
157 3 12 10 32540 
158 12 13 28 32695 
159 6 19 10 32936 
160 17 15 44 33080 
161 16 19 41 33366 
162 7 4 17 33655 
163 8 14 23 33922 
164 12 0 43 34125 
165 19 9 12 34383 
166 13 11 30 34644 
167 15 4 23 34931 
168 14 14 42 35135 
169 11 5 33 35317 
170 12 6 14 35532 
171 11 8 50 35803 
172 1 8 38 36016 
173 10 13 11 36290 
174 19 11 49 36578 
175 4 7 41 36750 
176 6 0 19 36995 
177 2 14 19 37184 
178 1 5 10 37387 
179 3 10 26 37609 
180 5 9 33 37787 
181 7 17 25 37964 
182 19 1 15 38164 
183 5 17 12 38316 
184 12 18 50 38585 
185 18 15 26 38876 
186 8 7 40 39077 
187 9 16 17 39307 
188 14 15 33 39488 
189 10 8 18 39651 
190 12 5 48 39811 
191 2 13 50 39993 
192 0 18 19 40232 
193 15 12 17 40356 
194 3 2 22 40629 
195 9 11 13 40864 
196 2 10 15 41061 
197 1 3 28 41312 
198 2 7 41 41438 
199 2 16 41 41572 
200 15 5 20 41714 
201 16 16 16 41928 
202 1 8 43 42112 
203 7 15 45 42376 
204 19 10 42 42628 
205 14 17 40 42852 
206 1 15 27 42979 
207 2 17 30 43221 
208 11 3 39 43387 
209 10 11 49 43628 
210 6 15 32 43810 
211 18 7 11 44059 
212 8 0 49 44317 
213 18 0 16 44565 
214 9 17 49 44751 
215 17 17 22 44995 
216 18 12 49 45155 
217 12 10 48 45338 
218 19 9 40 45579 
219 15 0 28 45845 
220 9 14 15 45999 
221 12 0 49 46140 
222 6 1 35 46349 
223 5 11 27 46589 
224 2 12 48 46739 
225 3 9 38 46986 
226 6 12 19 47261 
227 1 17 19 47517 
228 7 17 37 47643 
229 5 18 27 47835 
230 17 3 45 48117 
231 15 0 12 48349 
232 17 0 11 48528 
233 19 19 40 48769 
234 5 11 46 48944 
235 17 15 27 49122 
236 12 13 21 49270 
237 17 17 13 49494 
238 0 19 20 49683 
239 6 0 49 49981 
240 18 2 29 50264 
241 12 1 36 50414 
242 6 5 25 50570 
243 19 13 37 50816 
244 18 3 17 50938 
245 19 10 28 51177 
246 9 1 38 51442 
247 8 2 13 51713 
248 6 19 11 51855 
249 9 18 31 52047 
250 3 8 48 52278 
251 15 16 12 52545 
252 8 9 30 52805 
253 12 9 22 52943 
254 15 10 34 53164 
255 10 2 49 53373 
256 11 4 40 53523 
257 11 7 16 53668 
258 19 11 49 53899 
259 0 7 42 54156 
260 2 16 13 54373 
261 8 17 10 54536 
262 2 16 36 54768 
263 11 1 35 54951 
264 15 19 11 55209 
265 9 19 12 55360 
266 6 6 12 55609 
267 14 19 43 55780 
268 4 1 15 56059 
269 14 2 36 56205 
270 7 8 23 56486 
271 12 7 14 56677 
272 8 2 34 56839 
273 12 15 42 57018 
274 9 0 27 57212 
275 19 19 39 57483 
276 6 10 38 57737 
277 3 14 24 58031 
278 12 15 15 58208 
279 1 19 40 58439 
280 8 3 39 58719 
281 4 10 33 58858 
282 14 15 21 59117 
283 9 8 25 59368 
284 13 17 15 59640 
285 14 2 13 59777 
286 11 7 34 59942 
287 1 14 18 60095 
288 10 4 23 60258 
289 1 17 27 60419 
290 19 2 18 60695 
291 9 17 33 60950 
292 19 8 47 61123 
293 9 16 45 61380 
294 18 1 41 61646 
295 1 15 50 61893 
296 6 19 40 62092 
297 2 12 42 62218 
298 3 13 32 62475 
299 14 11 44 62665 
300 18 13 38 62818 
301 6 0 22 62983 
302 7 10 30 63132 
303 17 7 31 63265 
304 13 18 50 63447 
305 19 14 23 63617 
306 2 4 13 63836 
307 5 14 21 64055 
308 17 6 42 64221 
309 1 1 42 64343 
310 9 0 44 64637 
311 17 13 26 64908 
312 13 19 36 65155 
313 2 3 30 65447 
314 16 3 21 65611 
315 2 1 42 65786 
316 12 1 41 65971 
317 15 16 45 66180 
318 1 5 23 66420 
319 0 2 45 66588 
320 4 8 21 66818 
321 17 4 16 67009 
322 1 6 11 67270 
323 4 16 28 67437 
324 15 13 34 67587 
325 4 4 10 67773 
326 9 11 40 67900 
327 2 9 44 68039 
328 17 0 41 68272 
329 9 5 45 68559 
330 2 13 17 68681 
331 0 12 40 68857 
332 10 1 33 69059 
333 16 18 50 69248 
334 6 0 17 69493 
335 17 15 12 69639 
336 11 10 18 69846 
337 13 5 23 70117 
338 1 12 18 70335 
339 2 13 21 70519 
340 6 3 24 70780 
341 10 2 36 71040 
342 1 2 47 71248 
343 3 11 36 71410 
344 5 8 44 71710 
345 2 9 38 71997 
-1
