depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 17 17 16 424 
1 5 9 34 1150 
2 0 6 19 1786 
3 19 5 23 2408 
4 18 11 19 2861 
5 3 7 11 3165 
6 5 6 13 3698 
7 17 19 31 4223 
8 18 2 31 4908 
9 13 7 50 5398 
10 8 14 20 5736 
11 0 13 27 6520 
12 18 2 40 7417 
13 18 5 15 8242 
14 12 2 44 9011 
15 16 6 14 9820 
16 14 0 34 10676 
17 0 0 47 11234 
18 11 6 35 11851 
19 16 4 46 12384 
20 2 11 16 12841 
21 10 13 46 13718 
22 4 17 11 14330 
23 10 14 34 15171 
24 12 13 18 15840 
25 14 19 43 16211 
26 9 12 25 16859 
27 4 2 34 17513 
28 3 14 24 17940 
29 15 4 12 18407 
30 10 6 31 19120 
31 15 8 29 19810 
32 9 7 30 20443 
33 19 12 44 21089 
34 7 10 36 21987 
35 9 12 26 22626 
36 5 2 22 23115 
37 6 16 39 23858 
38 5 15 27 24731 
39 17 19 29 25282 
40 0 0 29 26127 
41 11 19 49 26533 
42 9 18 25 27183 
43 14 6 14 27942 
44 11 17 30 28803 
45 5 4 11 29554 
46 6 10 19 30252 
47 13 3 10 31068 
48 2 1 35 31574 
49 19 5 20 32440 
50 10 2 27 32856 
51 10 7 40 33455 
52 6 14 25 33977 
53 9 1 46 34407 
54 13 12 32 35279 
55 7 13 48 35854 
56 11 2 14 36472 
57 5 18 47 37167 
58 7 7 43 37905 
59 7 11 15 38643 
60 1 12 25 39513 
61 10 10 25 39851 
62 16 13 26 40454 
63 19 9 30 40904 
64 10 19 25 41231 
65 2 13 39 41946 
66 19 17 38 42577 
67 11 6 27 43182 
68 1 17 17 43835 
69 9 12 19 44227 
70 14 17 19 44610 
71 13 6 40 45415 
72 3 12 50 45759 
73 18 14 14 46429 
74 14 4 23 47055 
75 12 17 26 47772 
76 17 11 36 48376 
77 16 18 48 49047 
78 9 0 31 49509 
79 5 16 43 50118 
80 19 9 45 50889 
81 18 18 28 51386 
82 2 16 46 51949 
83 17 12 29 52343 
84 6 3 38 52762 
85 0 4 39 53223 
86 17 10 12 53775 
87 12 15 44 54120 
88 5 5 18 54588 
89 4 0 15 55358 
90 12 1 45 56012 
91 18 17 25 56661 
92 7 1 12 57233 
93 6 19 40 57761 
94 11 19 38 58061 
95 8 16 50 58386 
96 11 2 24 58950 
97 18 0 19 59295 
98 15 2 27 59617 
99 10 19 42 60083 
100 9 17 45 60954 
101 4 10 18 61474 
102 11 2 48 61839 
103 2 3 35 62259 
104 14 10 18 62885 
105 14 7 19 63345 
106 9 1 36 63955 
107 15 19 37 64705 
108 15 3 19 65143 
109 0 6 25 65810 
110 0 17 22 66527 
111 18 19 11 67074 
112 8 15 19 67849 
113 13 16 40 68283 
114 2 16 20 69067 
115 8 3 13 69536 
116 2 3 35 70400 
117 0 6 10 70921 
118 19 6 34 71604 
-1
