depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 0 13 22 237 
1 6 7 31 455 
2 6 12 33 739 
3 4 18 20 899 
4 8 5 26 1109 
5 19 16 44 1254 
6 8 18 49 1384 
7 10 7 48 1561 
8 4 2 26 1742 
9 12 10 33 1874 
10 17 16 43 2147 
11 3 8 15 2395 
12 5 16 49 2649 
13 3 17 17 2895 
14 6 17 12 3018 
15 10 8 37 3263 
16 11 16 50 3393 
17 3 11 43 3525 
18 7 7 26 3654 
19 17 12 30 3801 
20 11 2 19 4071 
21 19 7 19 4247 
22 6 17 40 4490 
23 14 13 15 4666 
24 16 19 20 4925 
25 16 14 29 5156 
26 18 4 50 5406 
27 17 15 36 5654 
28 13 11 36 5849 
29 9 0 21 6028 
30 12 1 23 6282 
31 11 19 49 6473 
32 0 16 17 6695 
33 13 19 20 6953 
34 19 12 45 7187 
35 11 5 36 7353 
36 16 9 29 7515 
37 7 18 31 7801 
38 3 6 26 7970 
39 15 2 10 8257 
40 11 10 41 8408 
41 8 14 17 8677 
42 13 3 44 8864 
43 15 15 35 9091 
44 3 1 24 9359 
45 11 12 11 9516 
46 8 15 20 9751 
47 0 7 25 9979 
48 0 2 17 10101 
49 12 11 10 10328 
50 18 12 26 10469 
51 17 15 12 10701 
52 8 18 14 10821 
53 7 13 38 10960 
54 2 17 34 11103 
55 1 12 14 11263 
56 12 8 13 11516 
57 17 3 29 11775 
58 15 15 13 12053 
59 17 14 25 12349 
60 4 17 37 12555 
61 18 15 25 12783 
62 14 3 11 13050 
63 14 10 12 13279 
64 3 7 33 13400 
65 19 4 11 13681 
66 15 17 37 13949 
67 4 1 50 14118 
68 2 9 13 14389 
69 9 5 35 14665 
70 0 6 14 14791 
71 3 6 15 15007 
72 0 7 11 15225 
73 6 11 42 15475 
74 15 2 11 15688 
75 1 10 21 15967 
76 8 8 20 16238 
77 6 11 12 16365 
78 11 5 29 16485 
79 4 18 45 16766 
80 0 18 24 16958 
81 11 0 26 17085 
82 19 5 44 17297 
83 19 7 27 17422 
84 7 18 33 17574 
85 18 9 22 17780 
