depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 4 5 10 685 
1 2 11 40 1437 
2 14 4 21 1813 
3 0 11 47 2597 
4 1 11 10 3293 
5 1 0 29 3911 
6 2 9 13 4479 
7 16 9 34 5260 
8 14 15 14 5769 
9 6 7 50 6382 
10 10 14 45 6772 
11 10 5 29 7181 
12 6 15 31 7849 
13 11 13 26 8748 
14 2 4 32 9325 
15 13 2 17 9859 
16 11 10 16 10203 
17 5 18 10 10698 
18 14 7 40 11587 
19 11 8 24 12070 
20 19 6 50 12429 
21 10 8 14 13094 
22 11 7 36 13981 
23 0 3 12 14597 
24 14 6 10 15334 
25 9 14 17 16216 
26 1 13 40 16613 
27 1 7 25 17023 
28 16 9 30 17530 
29 2 1 40 18124 
30 5 11 34 18605 
31 5 19 50 19143 
32 2 12 19 19742 
33 5 13 15 20511 
34 7 15 48 20838 
35 1 0 22 21195 
36 5 3 28 21726 
37 6 12 47 22157 
38 19 3 29 22925 
39 19 9 15 23393 
40 5 0 37 23857 
41 3 9 37 24383 
42 19 11 43 24794 
43 9 5 40 25220 
44 10 12 49 25950 
45 11 1 19 26840 
46 15 8 31 27684 
47 6 3 27 28420 
48 18 4 15 29230 
49 3 12 14 29964 
50 7 13 47 30654 
51 1 8 26 31082 
52 11 13 49 31888 
53 12 8 10 32229 
54 8 12 16 32746 
55 15 11 17 33550 
56 16 18 13 34163 
57 14 15 24 34807 
58 18 13 48 35357 
59 0 7 15 36230 
60 17 6 18 36980 
61 2 4 22 37606 
62 6 10 30 37916 
63 14 10 50 38745 
64 17 6 50 39339 
65 16 10 48 40106 
66 12 12 15 40985 
67 3 11 45 41769 
68 18 1 40 42387 
69 4 15 33 42835 
70 5 7 20 43216 
71 2 8 26 43606 
72 4 15 33 44132 
73 8 5 30 44677 
74 1 18 40 45435 
75 2 8 36 45748 
76 7 0 31 46299 
77 15 11 24 47074 
78 13 1 28 47475 
79 15 5 14 48302 
80 13 13 34 48960 
81 7 12 49 49827 
82 17 1 34 50244 
83 4 2 45 50962 
84 1 3 29 51657 
85 11 10 40 52188 
86 6 4 19 52621 
87 15 9 16 53174 
88 8 5 39 53490 
89 16 15 37 53866 
90 12 4 10 54571 
91 13 13 32 55364 
92 6 1 26 55714 
93 7 6 48 56224 
94 12 19 30 56726 
95 15 4 46 57265 
96 13 10 38 57965 
97 15 1 17 58822 
98 2 0 38 59376 
99 6 17 46 59928 
100 3 18 41 60500 
101 7 4 23 61294 
102 15 18 46 62041 
103 5 18 40 62916 
104 15 12 47 63444 
105 6 16 30 63850 
106 19 3 44 64566 
107 10 10 46 65458 
108 5 7 13 66166 
109 0 8 48 66849 
110 3 2 25 67463 
111 5 11 32 68313 
112 8 4 44 68908 
113 2 19 26 69277 
114 15 17 41 69618 
115 6 15 47 70240 
116 18 11 11 70915 
117 9 14 13 71232 
118 8 2 21 71538 
119 6 10 28 71996 
-1
